Model,RMSE_main,RMSE_main_std,MAE_main,MAE_main_std,R2_main,R2_main_std,MAPE_main,MAPE_main_std,RMSE_pred,RMSE_pred_std,MAE_pred,MAE_pred_std,R2_pred,R2_pred_std,MAPE_pred,MAPE_pred_std,ΔRMSE,ΔRMSE_std,Score,Score_std
Latent Physical Regularization,5.858494567871094,0.08178029398838775,4.2663679122924805,0.19944195304294732,0.8835737997532135,0.003244478464777178,17.167030334472656,0.9156059047291696,9.797492218017577,0.2066688720298531,7.135395336151123,0.2464496979371177,0.6910807887808076,0.012934955065550808,39.52673110961914,2.704689514639471,3.9389976501464843,0.23379387172905106,15.655986785888672,0.21009641559002828
PURE CNN-BiLSTM-attn,6.1275097846984865,0.09245418335566948,4.18919734954834,0.09349160706835034,0.8726326570865925,0.0038662599488376503,17.613272857666015,1.0394075777406355,9.75209083557129,0.4851530905580753,7.257359790802002,0.35298821938043107,0.6934403487267625,0.0314561175583518,43.04221420288086,3.311212607697809,3.624581050872803,0.4028983363071461,15.879600620269775,0.5705396788979408
WeatherCalib Pre-Net,6.103124523162842,0.3008880008586497,4.397610473632812,0.3695249186581997,0.8734217584655681,0.012743595805276684,17.48150005340576,1.7592801394522137,10.061397361755372,0.4313653939337658,7.3250401496887205,0.3782481021123425,0.6738516067205471,0.027257295293265708,41.19025421142578,4.820509606100172,3.958272838592529,0.5070761870825131,16.164521884918212,0.5441443969963815
MoE-Gated Hybrid,6.675243759155274,0.23488150537305733,4.709633922576904,0.12905139371541235,0.8487222018681603,0.010819408671530398,18.00880241394043,0.6965023034076894,10.69266242980957,0.23001307277324193,7.661789989471435,0.22269013071193283,0.632046507726884,0.01583512337491448,40.05141677856445,1.7088659202161014,4.017418670654297,0.13702768119850514,17.367906188964845,0.4442680328486007
Hybrid Anchor--Residual,6.234595775604248,0.13059239761637678,4.377120113372802,0.12260124836132279,0.8681196790186345,0.005501385213182406,17.477545928955077,0.35759713400342413,11.200374794006347,0.21393386305870749,8.069993114471435,0.22246709110776822,0.5963059610819826,0.015400038357925742,41.40085678100586,2.1803320344922414,4.9657790184021,0.24741969239715814,17.434970569610595,0.2538260033387576
PHYS-only,9.272073364257812,0.22267657114151587,8.370980644226075,0.22637285179602995,0.7082807885093914,0.01410413821372357,29.26873207092285,0.402691864893209,10.642770195007325,0.06617632485672377,8.36668586730957,0.07888993643708575,0.6355958533347096,0.004516597715518936,54.6936637878418,0.4802331960291151,1.3706968307495118,0.20641623521293145,19.914843559265137,0.25557906888923865
Persistence D-1,15.395021438598633,0.0,12.070000648498535,0.0,0.19615638477048558,0.0,39.3510627746582,0.0,15.777450561523438,0.0,12.372635841369629,0.0,0.1991814432224016,0.0,54.15237045288086,0.0,0.3824291229248047,0.0,31.17247200012207,0.0
